|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9572 | 1574782312 | 2019-11-26 10:31:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9666 | 1574782372 | 2019-11-26 10:32:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9645 | 1574782432 | 2019-11-26 10:33:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9551 | 1574782492 | 2019-11-26 10:34:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9481 | 1574782552 | 2019-11-26 10:35:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9421 | 1574782612 | 2019-11-26 10:36:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9425 | 1574782672 | 2019-11-26 10:37:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9575 | 1574782732 | 2019-11-26 10:38:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9541 | 1574782792 | 2019-11-26 10:39:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9408 | 1574782852 | 2019-11-26 10:40:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9439 | 1574782912 | 2019-11-26 10:41:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9028 | 1574782972 | 2019-11-26 10:42:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9089 | 1574783032 | 2019-11-26 10:43:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9090 | 1574783092 | 2019-11-26 10:44:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9212 | 1574783152 | 2019-11-26 10:45:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9268 | 1574783212 | 2019-11-26 10:46:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9281 | 1574783272 | 2019-11-26 10:47:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9491 | 1574783337 | 2019-11-26 10:48:57    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9581 | 1574783393 | 2019-11-26 10:49:53    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9539 | 1574783452 | 2019-11-26 10:50:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9410 | 1574783512 | 2019-11-26 10:51:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9398 | 1574783573 | 2019-11-26 10:52:53    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9367 | 1574783632 | 2019-11-26 10:53:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9339 | 1574783692 | 2019-11-26 10:54:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9426 | 1574783752 | 2019-11-26 10:55:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9471 | 1574783812 | 2019-11-26 10:56:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9587 | 1574783872 | 2019-11-26 10:57:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9783 | 1574783932 | 2019-11-26 10:58:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9488 | 1574783992 | 2019-11-26 10:59:52    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9633 | 1574726105 | 2019-11-25 18:55:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9600 | 1574726135 | 2019-11-25 18:55:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9755 | 1574726165 | 2019-11-25 18:56:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9763 | 1574726195 | 2019-11-25 18:56:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9794 | 1574726225 | 2019-11-25 18:57:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9817 | 1574726255 | 2019-11-25 18:57:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9895 | 1574726285 | 2019-11-25 18:58:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9913 | 1574726315 | 2019-11-25 18:58:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9930 | 1574726345 | 2019-11-25 18:59:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9919 | 1574726375 | 2019-11-25 18:59:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0083 | 1574726405 | 2019-11-25 19:00:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0097 | 1574726435 | 2019-11-25 19:00:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0071 | 1574726465 | 2019-11-25 19:01:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9971 | 1574726495 | 2019-11-25 19:01:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0008 | 1574726525 | 2019-11-25 19:02:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0025 | 1574726555 | 2019-11-25 19:02:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0119 | 1574726585 | 2019-11-25 19:03:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0395 | 1574726615 | 2019-11-25 19:03:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0462 | 1574726645 | 2019-11-25 19:04:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0418 | 1574726675 | 2019-11-25 19:04:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0489 | 1574726705 | 2019-11-25 19:05:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0380 | 1574726735 | 2019-11-25 19:05:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0451 | 1574726765 | 2019-11-25 19:06:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0555 | 1574726795 | 2019-11-25 19:06:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0534 | 1574726825 | 2019-11-25 19:07:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0415 | 1574726855 | 2019-11-25 19:07:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0411 | 1574726885 | 2019-11-25 19:08:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0382 | 1574726915 | 2019-11-25 19:08:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0480 | 1574726945 | 2019-11-25 19:09:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0617 | 1574726975 | 2019-11-25 19:09:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0572 | 1574727005 | 2019-11-25 19:10:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0591 | 1574727035 | 2019-11-25 19:10:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0506 | 1574727065 | 2019-11-25 19:11:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0518 | 1574727095 | 2019-11-25 19:11:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0639 | 1574727125 | 2019-11-25 19:12:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0582 | 1574727155 | 2019-11-25 19:12:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0576 | 1574727185 | 2019-11-25 19:13:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0515 | 1574727215 | 2019-11-25 19:13:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0601 | 1574727245 | 2019-11-25 19:14:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0682 | 1574727275 | 2019-11-25 19:14:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0737 | 1574727305 | 2019-11-25 19:15:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0831 | 1574727335 | 2019-11-25 19:15:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0823 | 1574727365 | 2019-11-25 19:16:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0877 | 1574727395 | 2019-11-25 19:16:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0854 | 1574727425 | 2019-11-25 19:17:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0810 | 1574727455 | 2019-11-25 19:17:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0912 | 1574727485 | 2019-11-25 19:18:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0945 | 1574727515 | 2019-11-25 19:18:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0936 | 1574727545 | 2019-11-25 19:19:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0909 | 1574727575 | 2019-11-25 19:19:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0934 | 1574727605 | 2019-11-25 19:20:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0892 | 1574727635 | 2019-11-25 19:20:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0932 | 1574727665 | 2019-11-25 19:21:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0816 | 1574727695 | 2019-11-25 19:21:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0907 | 1574727725 | 2019-11-25 19:22:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1080 | 1574727755 | 2019-11-25 19:22:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1070 | 1574727785 | 2019-11-25 19:23:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1136 | 1574727815 | 2019-11-25 19:23:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1191 | 1574727845 | 2019-11-25 19:24:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1215 | 1574727875 | 2019-11-25 19:24:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1169 | 1574727905 | 2019-11-25 19:25:05    |
