ANTI_EMIS_MESES|IM_VENTA_SOL|MARCA|NOMBRE_CORTO|Nombre_territorio|FLAG_LIMA_PROVINCIA|REGION|SUELDO_ESTIMADO|EDAD|SEXO|STATUS_BBVA|ANTIGUEDAD_MES|FLAG_CLIENTE_CORPORATIVO_BBVA|SEGMENTO_LOCAL|FLAG_SS
2|5000|Visa|PLATINUM LIFEMILES|T.SURCO LA MOLINA|1|LIMA NORTE|525|37|F|A|116|1|CLASICO|
2|11500|Visa|PLATINUM|T.SURCO LA MOLINA|0|NORTE|2922|32|F|||0||
2|23500|Visa|SIGNATURE LIFEMILES|T.LIMA CENTRO|1|LIMA CENTRO|3903|52|F|A|18|1|CLASICO|
2|1000|Visa|CLASICA|T.LIMA CENTRO|1|LIMA MODERNA|1925.875|28|F|A|78|1|CLASICO|
2|3300|Visa|ORO|T.CALLAO SAN MIGUEL|1|CALLAO|1468.75|27|M|A|34|1|CLASICO|
2|10000|Visa|PLATINUM LIFEMILES|T.NORTE SUR CHICO|0|NORTE|4416|42|M|||0||
2|15000|Visa|SIGNATURE|T.NORTE SUR CHICO|0|NORTE|5349.1099999999997|43|M|A|211|1|CLASICO|
2|1000|Visa|CLASICA|T.NORTE SUR CHICO|0|NORTE|1840.5|38|M|A|1|1|CLASICO|
2|6500|Visa|PLATINUM|T.CENTRO|0|SIERRA CENTRAL|2053.3299999999999|36|M|A|7|1|CLASICO|
2|3700|Visa|ORO|T.NORTE|0|NORTE|2240|59|M|A|108|1|CLASICO|
2|11500|Visa|PLATINUM|T.NORTE|0|NORTE|903.66999999999996|62|M|A|194|1|CLASICO|1
2|2000|Visa|ORO LIFEMILES|T.NORTE|1|LIMA MODERNA|1821.5599999999999|27|M|A|25|1|CLASICO|
2|7600|Visa|PLATINUM|T.SUR|0|SIERRA CENTRAL|2573|47|F|A|148|1|CLASICO|
2|12500|Visa|SIGNATURE LIFEMILES|T.LINCE|1|LIMA ESTE|2450|30|M|||0||
2|5300|Visa|PLATINUM|T.LINCE|1|LIMA ESTE|1123.8900000000001|24|F|A|26|1|CLASICO|
2|2000|Visa|PLATINUM|T.SURCO LA MOLINA|1|LIMA SUR|2185.875|39|F|A|4|1|CLASICO|
2|850|Visa|CLASICA|T.SURCO LA MOLINA|1|LIMA MODERNA|3055.3299999999999|30|F|A|60|1|CLASICO|
2|2000|Visa|CLASICA|T.SURCO LA MOLINA|1|LIMA ESTE|1516.875|28|F|A|53|1|INCLUSION FINANCIERA  |
2|4000|Visa|ORO|T.SURCO LA MOLINA|1|LIMA MODERNA|1131|44|F|A|171|1|CLASICO|
2|4400|Visa|ORO LIFEMILES|T.CALLAO SAN MIGUEL|1|CALLAO|1210.1700000000001|62|M|A|23|1|INCLUSION FINANCIERA  |
2|2000|Visa|ORO LIFEMILES|T.LIMA CENTRO|1|LIMA CENTRO|4636|33|F|A|180|1|CLASICO|
2|1000|Visa|CLASICA|T.CALLAO SAN MIGUEL|1|LIMA MODERNA||29|M|A|25|1|INCLUSION FINANCIERA  |
2|5000|Visa|PLATINUM|T.SUR|0|SIERRA CENTRAL|2153|37|F|A|143|1|CLASICO|
2|12000|Visa|SIGNATURE LIFEMILES|T.LINCE|1|LIMA CENTRO|700|45|F|A|194|1|VIP|
2|25000|Visa|SIGNATURE|T.LINCE|1|LIMA MODERNA|6314|37|F|A|220|1|CLASICO|
2|700|Visa|CLASICA|T.NORTE SUR CHICO|1|LIMA ESTE|1380|32|M|A|62|1|PNN 0  |
2|3000|Visa|CLASICA|T.NORTE SUR CHICO|1|LIMA NORTE|589|43|F|||0||
2|12000|Visa|SIGNATURE LIFEMILES|T.SURCO LA MOLINA|0|NORTE|1273|57|F|A|9|1|INCLUSION FINANCIERA  |
2|800|Visa|CLASICA|T.SURCO LA MOLINA|1|LIMA MODERNA|150|22|F|A|47|1|INCLUSION FINANCIERA  |
2|9100|Visa|PLATINUM LIFEMILES|T.SURCO LA MOLINA|1|LIMA ESTE|2833|44|M|||0||
2|12000|Visa|SIGNATURE LIFEMILES|T.SURCO LA MOLINA|1|LIMA MODERNA|8500|27|M|A|40|1|CLASICO|
2|2000|Visa|NACIONAL|T.LINCE|1|LIMA MODERNA|1463.75|27|M|A|29|1|CLASICO|
2|9000|Visa|PLATINUM LIFEMILES|T.MIRAFLORES S.BORJA|1|LIMA CENTRO|1800|30|M|A|17|1|CLASICO|
2|5000|Visa|PLATINUM|T.NORTE SUR CHICO|1|LIMA NORTE||39|M|A|73|1|INCLUSION FINANCIERA  |
2|700|Visa|CLASICA|T.LIMA RESIDENCIAL|1|LIMA CENTRO||58|F|A|2|1|INCLUSION FINANCIERA  |
2|700|Visa|ARCANGEL|T.LIMA SUR|1|LIMA SUR|578|55|F|A|39|1|CLASICO|
2|5000|Visa|PLATINUM|T.LIMA CENTRO|1|LIMA ESTE|7475.5|26|F|A|73|1|CLASICO|
2|2000|Visa|CLASICA|T.CALLAO SAN MIGUEL|1|CALLAO||43|F|A|1|1|INCLUSION FINANCIERA  |
2|700|Visa|CLASICA|T.CALLAO SAN MIGUEL|1|CALLAO|1703.8599999999999|27|M|A|58|1|CLASICO|
2|1000|Visa|ARCANGEL|T.CALLAO SAN MIGUEL|1|CALLAO|1095.5|23|M|A|51|1|CLASICO|
2|3000|Visa|CLASICA|T.CALLAO SAN MIGUEL|1|LIMA ESTE||26|M|A|1|1|INCLUSION FINANCIERA  |
2|5200|Visa|PLATINUM LIFEMILES|T.CALLAO SAN MIGUEL|0|NORTE|1061.1700000000001|25|M|A|10|1|INCLUSION FINANCIERA  |
2|5000|Visa|PLATINUM|T.CALLAO SAN MIGUEL|1|LIMA ESTE|525|37|M|A|170|1|CLASICO|
2|5000|Visa|PLATINUM LIFEMILES|T.CALLAO SAN MIGUEL|1|LIMA NORTE|10476.110000000001|37|M|A|63|1|VIP|
2|700|Visa|CLASICA|T.LINCE|1|LIMA NORTE||21|M|A|6|1|INCLUSION FINANCIERA  |
2|5000|Visa|PLATINUM|T.LIMA CENTRO|1|LIMA MODERNA|2862.5|33|F|A|149|1|CLASICO|
2|5000|Visa|PLATINUM|T.LIMA SUR|1|LIMA MODERNA|1516.875|29|M|A|23|1|CLASICO|
2|17000|Visa|SIGNATURE LIFEMILES|T.LIMA CENTRO|1|LIMA CENTRO|6755|43|M|A|136|1|CLASICO|
2|53000|Visa|SIGNATURE|T.LIMA CENTRO|1|LIMA ESTE|3258|30|M|||0||
2|3700|Visa|CLASICA|T.CALLAO SAN MIGUEL|1|CALLAO|823|47|M|A|99|1|CLASICO|
2|6300|Visa|PLATINUM LIFEMILES|T.LINCE|1|LIMA CENTRO|1271.1400000000001|33|M|A|18|1|INCLUSION FINANCIERA  |
2|100000|Visa|SIGNATURE LIFEMILES|T.LINCE|1|LIMA MODERNA|15177|43|M|A|90|1|PREMIUM  |
2|6000|Visa|PLATINUM|T.LIMA CENTRO|1|LIMA MODERNA|1860.375|47|F|A|14|1|CLASICO|
2|3000|Visa|ORO LIFEMILES|T.LIMA RESIDENCIAL|1|LIMA NORTE|70|33|M|A|114|1|CLASICO|
2|10000|Visa|ORO LIFEMILES|T.LIMA RESIDENCIAL|1|LIMA ESTE|1965|26|F|A|71|1|CLASICO|
2|5000|Visa|ORO|T.LIMA CENTRO|1|LIMA CENTRO|1567.75|51|M|A|16|1|PNN 3   |
2|50000|Visa|SIGNATURE LIFEMILES|T.MIRAFLORES S.BORJA|1|LIMA MODERNA|885|40|M|A|260|1|VIP|
2|5000|Visa|ORO LIFEMILES|T.MIRAFLORES S.BORJA|1|CALLAO|4435.6700000000001|38|M|A|92|1|CLASICO|
2|2000|Visa|ORO LIFEMILES|T.MIRAFLORES S.BORJA|0|SIERRA CENTRAL|525|73|F|A|138|1|CLASICO|
2|750|Visa|CLASICA|T.MIRAFLORES S.BORJA|||2929.75|44|M|A|39|1|CLASICO|
2|7100|Visa|PLATINUM LIFEMILES|T.MIRAFLORES S.BORJA|1|LIMA CENTRO|1169.5|34|M|A|11|1|INCLUSION FINANCIERA  |
2|28500|Visa|SIGNATURE LIFEMILES|T.MIRAFLORES S.BORJA|1|LIMA MODERNA|3541|40|F|A|234|1|VIP|
2|30000|Visa|SIGNATURE LIFEMILES|T.LIMA RESIDENCIAL||||||A|3|1|PREMIUM  |
2|800|Visa|CLASICA|T.SURCO LA MOLINA|0|CENTRO|2169.625|23|M|A|13|1|INCLUSION FINANCIERA  |1
2|6100|Visa|ARCANGEL|T.CENTRO|0|CENTRO|1610.25|33|M|||0||
2|3500|Visa|ORO LIFEMILES|T.SURCO LA MOLINA|0|NORTE|2185.875|36|F|I|1|1|CLASICO|
2|12500|Visa|SIGNATURE LIFEMILES|T.CENTRO|0|CENTRO|1445|50|M|A|146|1|CLASICO|
2|9900|Visa|ORO|T.LINCE|1|LIMA MODERNA|1260|37|F|A|57|1|CLASICO|
2|12000|Visa|SIGNATURE|T.LINCE|0|NORTE|7126|36|M|A|207|1|CLASICO|
2|4000|Visa|PLATINUM LIFEMILES|T.LINCE|1|LIMA MODERNA|1800|25|F|A|48|1|CLASICO|
2|14500|Visa|SIGNATURE LIFEMILES|T.CENTRO|0|CENTRO|4682|32|M|A|35|1|CLASICO|
2|7500|Visa|PLATINUM|T.NORTE SUR CHICO|1|LIMA PROVINCIA|2301|43|F|||0||
2|5800|Visa|PLATINUM|T.NORTE|0|NORTE|858|36|M|||0||
2|2000|Visa|CLASICA|T.NORTE|0|ORIENTE|991|42|M|A|3|1|CLASICO|
2|4600|Visa|ORO|T.NORTE SUR CHICO|1|LIMA PROVINCIA|1228.125|65|M|A|220|1|CLASICO|
2|1400|Visa|CLASICA|T.NORTE|0|NORTE|2550|59|M|A|249|1|PNN 3   |
2|10000|Visa|PLATINUM|T.SUR|0|SIERRA CENTRAL|5460|46|M|A|14|1|CLASICO|
2|8500|Visa|PLATINUM|T.SUR|0|SIERRA CENTRAL|3623|39|M|A|4|1|CLASICO|
2|10300|Visa|PLATINUM|T.NORTE|1|LIMA PROVINCIA|3360|37|F|A|224|1|CLASICO|
2|700|Visa|CLASICA|T.NORTE SUR CHICO|1|LIMA NORTE|5808.3299999999999|36|M|A|135|1|CLASICO|
2|6700|Visa|CLASICA|T.NORTE SUR CHICO|1|LIMA NORTE|862|39|F|A|181|1|CLASICO|
2|1000|Visa|CLASICA|T.CALLAO SAN MIGUEL|1|LIMA SUR|2239.6700000000001|38|M|A|196|1|CLASICO|
2|32000|Visa|SIGNATURE LIFEMILES|T.CALLAO SAN MIGUEL|1|LIMA MODERNA|6400|41|F|A|136|1|CLASICO|
2|1300|Visa|CLASICA|T.CALLAO SAN MIGUEL|1|LIMA MODERNA|1834.3800000000001|42|M|A|275|1|CLASICO|
2|12000|Visa|SIGNATURE LIFEMILES|T.LIMA RESIDENCIAL|1|LIMA MODERNA|14926.860000000001|40|M|A|204|1|VIP|
2|10000|Visa|PLATINUM LIFEMILES|T.LIMA RESIDENCIAL|1|LIMA MODERNA|8351|35|M|A|44|1|CLASICO|
2|9500|Visa|PLATINUM LIFEMILES|T.LIMA CENTRO|1|LIMA ESTE|578|52|F|A|117|1|CLASICO|
2|700|Visa|CLASICA|T.LIMA CENTRO|1|LIMA ESTE|1153.125|54|M|A|13|1|INCLUSION FINANCIERA  |
2|57500|Visa|SIGNATURE|T.LIMA CENTRO|1|CALLAO|2104|59|F|A|237|1|CLASICO|
2|3000|Visa|ORO LIFEMILES|T.CALLAO SAN MIGUEL|1|CALLAO||29|M|A|24|1|INCLUSION FINANCIERA  |1
2|1500|Visa|NACIONAL|T.SURCO LA MOLINA|1|LIMA ESTE|1084.5599999999999|22|M|A|44|1|CLASICO|
2|20000|Visa|SIGNATURE LIFEMILES|T.SURCO LA MOLINA|1|LIMA MODERNA|4060|29|F|A|32|1|CLASICO|
2|10000|Visa|PLATINUM LIFEMILES|T.CALLAO SAN MIGUEL|1|CALLAO|4766.8900000000003|32|F|A|105|1|CLASICO|
2|30000|Visa|SIGNATURE|T.SURCO LA MOLINA|1|LIMA MODERNA|5460|40|M|A|203|1|CLASICO|
2|2500|Visa|ORO LIFEMILES|T.CALLAO SAN MIGUEL|1|LIMA MODERNA|1487|57|M|A|1|1|CLASICO|
2|9100|Visa|PLATINUM|T.NORTE|0|NORTE|5816|40|F|A|89|1|VIP|
2|2000|Visa|ORO LIFEMILES|T.NORTE|0|ORIENTE|2070.75|53|M|A|20|1|PNN 3   |
2|1000|Visa|CLASICA|T.NORTE|1|LIMA NORTE|1260|44|M|A|173|1|CLASICO|
